date;Negative;% Negative;Neutral;% Neutral;Positive;% Positive;Total;;;;;;;;;;;
12.05.2022;21;0,046666667;119;0,264444444;310;0,688888889;450;;;;;;;;;;;
13.05.2022;61;0,050833333;273;0,2275;866;0,721666667;1200;;;date;12.05.2022;13.05.2022;14.05.2022;15.05.2022;16.05.2022;17.05.2022;18.05.2022;19.05.2022
14.05.2022;85;0,070833333;397;0,330833333;718;0,598333333;1200;;;Negative;21;61;85;52;65;111;53;47
15.05.2022;52;0,043333333;412;0,343333333;736;0,613333333;1200;;;% Negative;0,046666667;0,050833333;0,070833333;0,043333333;0,054166667;0,0925;0,044166667;0,067142857
16.05.2022;65;0,054166667;448;0,373333333;687;0,5725;1200;;;Neutral;119;273;397;412;448;416;480;262
17.05.2022;111;0,0925;416;0,346666667;673;0,560833333;1200;;;% Neutral;0,264444444;0,2275;0,330833333;0,343333333;0,373333333;0,346666667;0,4;0,374285714
18.05.2022;53;0,044166667;480;0,4;667;0,555833333;1200;;;Positive;310;866;718;736;687;673;667;391
19.05.2022;47;0,067142857;262;0,374285714;391;0,558571429;700;;;% Positive;0,688888889;0,721666667;0,598333333;0,613333333;0,5725;0,560833333;0,555833333;0,558571429
;;;;;;;;;;Total;450;1200;1200;1200;1200;1200;1200;700
